productNameAmazon,itemURLAmazon,productTypeAmazon,productCategoryAmazon,availabilityAmazon,categoryRankAmazon,priceAmazon,titleEbay,itemURLEbay,locationEbay,shippingCostEbay,conditionEbay,categoryEbay,priceEbay,currencyEbay,margin,amazonPrice,roi
Cisco/Polycom 2201-07155-603 (Sold Individually) Microphone,https://www.amazon.com/Cisco-Polycom-2201-07155-603-Sold-Individually/dp/B07CRNFQWY,PBX Phones & Systems,Office Products,[],[],,Lot (4) NEW Cisco Conference External Microphone Mics 2201-07155-603 w/ Cables,https://www.ebay.com/itm/Lot-4-NEW-Cisco-Conference-External-Microphone-Mics-2201-07155-603-w-Cables-/312790265362,"Seattle,WA,USA",,New – Open box,Conference Equipment,37.49,,-37.49,0,-1
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone & NEW CISCO 37-0931-01 Cable,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-NEW-CISCO-37-0931-01-Cable-/182271176728,"Petaluma,CA,USA",,New,Conference Equipment,79,,-79,0,-1
"Cisco - CP-7937-MIC-KIT= - Cisco - Microphone (pack of 2 ) - for IP Conference Station 7937G,",https://www.amazon.com/Cisco-CP-7937-MIC-KIT-Microphone-Conference-Station/dp/B007MOITNW,VoIP,Office Products,[],"#1,262 in VoIP Phones",,CISCO external Table Microphone for audio conferencing,https://www.ebay.com/itm/CISCO-external-Table-Microphone-audio-conferencing-/192527707042,"Chicago,IL,USA",,New,Conference Equipment,149.95,,-149.95,0,-1
Cisco 7937G Series CP-7937-MIC-KIT= Conference Station External Microphone Kit 2201-40140-001,https://www.amazon.com/CP-7937-MIC-KIT-Conference-External-Microphone-2201-40140-001/dp/B072F7DQRZ,[],[],[],[],,Cisco CP-7937-MIC-KIT 4 Piece Conference Microphone,https://www.ebay.com/itm/Cisco-CP-7937-MIC-KIT-4-Piece-Conference-Microphone-/163864227884,"Brooklyn,NY,USA",,New – Open box,Conference Equipment,53.99,,-53.99,0,-1
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/222711053270,"North Wales,PA,USA",,New,Conference Equipment,8,,-8,0,-1
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,Cisco TelePresence Conference Microphone CTS-MIC 74-4743-05AO -Cable 37-0931-01,https://www.ebay.com/itm/Cisco-TelePresence-Conference-Microphone-CTS-MIC-74-4743-05AO-Cable-37-0931-01-/372129857995,"North Wales,PA,USA",,New,Conference Equipment,8,,-8,0,-1
"Cisco CTS-MIC-TABL60= Telepresence Table Microphone 60 for SX-80,MX700,MX800",https://www.amazon.com/Cisco-CTS-MIC-TABL60-Telepresence-Table-Microphone/dp/B00YHH2CJY,Audio & Video Accessories,Electronics,[],[],,"Cisco CTS-MIC-TABL60 NEW, Sourced from Cisco, Table Microphone 60, TABL60",https://www.ebay.com/itm/Cisco-CTS-MIC-TABL60-NEW-Sourced-Cisco-Table-Microphone-60-TABL60-/333375264659,"Nevada City,CA,USA",,New – Open box,Conference Equipment,135,,-135,0,-1
Generic Cisco CTS-MIC 74-4743-05,https://www.amazon.ae/Generic-NA-Cisco-CTS-MIC-74-4743-05/dp/B0785QBPBG,[],Computers,[],[],,CISCO CTS-MIC 74-4743-05 TelePresence Microphone,https://www.ebay.com/itm/CISCO-CTS-MIC-74-4743-05-TelePresence-Microphone-/272621356422,"Chula Vista,CA,USA",,New,Conference Equipment,29.92,,-29.92,0,-1
Mitel Networks M695 PKM 50006874,https://www.amazon.ae/Mitel-Networks-M695-PKM-50006874/dp/B06XKC3XT9,[],[],[],[],,NEW Mitel 50006874 M695 Programmable Key Module,https://www.ebay.com/itm/NEW-Mitel-50006874-M695-Programmable-Key-Module-/113237224312,"Pomona,CA,USA",,New,Business Phone Sets & Handsets,162,,-162,0,-1
Mitel Communications 68xx/69xx Bluetooth Handset (50006763),https://www.amazon.ae/Mitel-Communications-Bluetooth-Handset-50006763/dp/B01NCKQC7U,[],Electronics,[],[],,"NEW Mitel 50006791 HX-Core Assembly (Chassis, Ctrl, PSU)",https://www.ebay.com/itm/NEW-Mitel-50006791-HX-Core-Assembly-Chassis-Ctrl-PSU-/113237215020,"Pomona,CA,USA",,New,Business Phone Sets & Handsets,1300,,-1300,0,-1
MITEL NETWORKS CORPORATI 50005991 - Mitel 5360 IP Phone - Wireless - Desktop,https://www.amazon.com/MITEL-NETWORKS-CORPORATI-50005991-Wireless/dp/B01N0681N2,Internal Components,Electronics,[],[],,NEW Mitel 50005991 5360 IP Phone (Black),https://www.ebay.com/itm/NEW-Mitel-50005991-5360-IP-Phone-Black-/113236053224,"La Verne,CA,USA",,New,Business Phone Sets & Handsets,525.99,,-525.99,0,-1
